class,x1,y1,z1,v1,x2,y2,z2,v2,x3,y3,z3,v3,x4,y4,z4,v4,x5,y5,z5,v5,x6,y6,z6,v6,x7,y7,z7,v7,x8,y8,z8,v8,x9,y9,z9,v9,x10,y10,z10,v10,x11,y11,z11,v11,x12,y12,z12,v12,x13,y13,z13,v13,x14,y14,z14,v14,x15,y15,z15,v15,x16,y16,z16,v16,x17,y17,z17,v17,x18,y18,z18,v18,x19,y19,z19,v19,x20,y20,z20,v20,x21,y21,z21,v21,x22,y22,z22,v22,,accX,accY,accZ
Straight,0.4960880876,0.4385315478,-0.7244903445,0.9998019338,0.5232409835,0.3682381809,-0.7003661394,0.9993471503,0.5407640338,0.3691231906,-0.7000608444,0.9996142387,0.5582088828,0.3717526197,-0.7006182671,0.9993867874,0.4756597579,0.3688054085,-0.6946226954,0.9993108511,0.4587485194,0.3699916303,-0.6952646375,0.9995766282,0.4419990182,0.370827049,-0.6960437894,0.9993083477,0.5811939836,0.4111660719,-0.4362134039,0.9995695949,0.4276079535,0.406234026,-0.4096574783,0.9994447827,0.5274721384,0.5285190344,-0.6171306372,0.999599874,0.4672439694,0.5239764452,-0.6082397699,0.9995031357,0.7099329233,0.8355671167,-0.2641130686,0.9995564818,0.3206893802,0.8089501858,-0.2212726176,0.9993246794,0.7811160088,1.173653126,-0.1409455091,0.252794385,0.1942089498,1.060003519,-0.05956050009,0.2313967496,0.8021000028,1.689748168,-0.1401746422,0.07560709864,0.1428841054,1.612686157,-0.1650121212,0.04940186441,0.8548696637,1.848528385,-0.1339810491,0.08128398657,0.09729686379,1.728024602,-0.2151332349,0.06294622272,0.8254213333,1.854902983,-0.2151495963,0.1251467317,0.1321358085,1.744744062,-0.2665320933,0.09620527923,0.8060446978,1.810103297,-0.1707442999,0.1339918077,,0.5074966848,0.9406398548,-0.4079693972
Straight,0.4959086776,0.4386894703,-0.8291459084,0.9998143315,0.5221358538,0.3684524,-0.7970478535,0.999386549,0.5400575399,0.3693659008,-0.7966244817,0.999633193,0.5567091703,0.3718737364,-0.7971740961,0.9994228482,0.4750711322,0.3687814474,-0.791174531,0.9993538857,0.4586609304,0.369769454,-0.7916628122,0.9996003509,0.4419120252,0.3703348935,-0.7924082875,0.9993545413,0.5807425976,0.4111621976,-0.5001629591,0.999589622,0.426671803,0.4060664773,-0.4722222388,0.9994744658,0.5270119905,0.5277751088,-0.7126120329,0.9996217489,0.4665653706,0.5234304667,-0.7036405206,0.999532342,0.6972947121,0.8106848001,-0.2988304198,0.9995641708,0.3222150207,0.7938101888,-0.2818605304,0.9993630648,0.790620923,1.099834085,-0.1524445713,0.2681770623,0.1968039423,1.057252765,-0.07880682498,0.2514499426,0.898414433,1.589581847,-0.1653986871,0.07997625321,0.1229566783,1.592565298,-0.1705579609,0.05435138941,0.9485229254,1.690438032,-0.1641219109,0.08421847224,0.0827126652,1.730497599,-0.2218285352,0.0670343563,0.9205418825,1.700799942,-0.2528615296,0.1297045499,0.1187136024,1.752153993,-0.2980168164,0.1021926329,0.8956663013,1.672260761,-0.201618433,0.1384612471,,0.5220868262,0.9097991301,-0.4668282701
Straight,0.4942610264,0.4386868477,-0.6702668667,0.9998158216,0.5194026232,0.3684048057,-0.6428662539,0.9993937016,0.5378478169,0.3691847026,-0.6424096823,0.9996335506,0.553955555,0.3713361919,-0.642988801,0.9994325638,0.4732834697,0.3687625825,-0.6335242987,0.9993572235,0.4580166936,0.3696386218,-0.6340223551,0.9995980263,0.4411754012,0.3701510429,-0.6346331835,0.999358952,0.5798867345,0.4099266529,-0.3885912895,0.9995883703,0.4260409474,0.4060469866,-0.3458304107,0.9994681478,0.5256675482,0.527444303,-0.5710582733,0.9996263385,0.4654616416,0.5233703852,-0.5579084754,0.9995357394,0.6963800192,0.8061468601,-0.218419075,0.9995651245,0.322740972,0.7900449038,-0.1803434044,0.9993684888,0.7904567719,1.075785518,-0.0786646232,0.2673894167,0.1970429122,1.053920984,0.07592473924,0.2520522773,0.8738857508,1.603236675,-0.05099470168,0.07973634452,0.1254987866,1.595337987,0.05907646567,0.05267510563,0.9231950641,1.71404016,-0.03459607437,0.08323442936,0.08331031352,1.734975815,0.0195426736,0.06461812556,0.8949500918,1.729678154,-0.1192714423,0.1286422461,0.1205718517,1.766285181,-0.04499515519,0.0989433825,0.8724118471,1.695769548,-0.08220397681,0.1368255764,,0.517065629,0.9130988595,-0.3190474757
Straight,0.493108511,0.4391922057,-0.7965720892,0.9998213649,0.5173581839,0.3684810102,-0.7746660709,0.9994148612,0.5362818837,0.3691765964,-0.7741788626,0.9996404052,0.5520839691,0.3711287975,-0.7748242617,0.9994529486,0.4714938104,0.3693480194,-0.7611688972,0.9993769526,0.4571186602,0.3700533211,-0.7616406083,0.9996042848,0.4399579465,0.37061885,-0.7623143196,0.9993801117,0.5793440938,0.4087537527,-0.5103306174,0.9995945096,0.4256746769,0.4061848223,-0.4470450282,0.9994716644,0.524771452,0.5274317265,-0.6902857423,0.9996373057,0.4645728171,0.5239144564,-0.6713827848,0.9995485544,0.6948885918,0.7930173874,-0.3075397909,0.9995651841,0.32520926,0.7770974636,-0.2379561663,0.9993870258,0.7904426455,1.064992189,-0.1375457346,0.2731722891,0.1999535412,1.04088223,0.03026620485,0.261367023,0.8718183637,1.592718959,-0.1021348462,0.08210664243,0.1257014275,1.588379622,-0.005825143307,0.05357221514,0.9182981253,1.699561715,-0.08850121498,0.08487804979,0.08406242728,1.725994229,-0.04748075455,0.06498790532,0.8879743814,1.716646314,-0.1803736985,0.1316536367,0.1208737642,1.760422111,-0.1173891798,0.09988748282,0.8653818369,1.683838725,-0.1357157826,0.1393112689,,0.5157441077,0.907628841,-0.4115729722
Straight,0.4933319092,0.4388910532,-0.7818726897,0.9998250604,0.5173957348,0.3681423962,-0.7655438185,0.9994330406,0.536295414,0.3687758148,-0.7651329041,0.9996445179,0.5520291924,0.3703767061,-0.7658396363,0.9994686842,0.4715054929,0.3689935803,-0.7502022982,0.9993988872,0.4572452009,0.3696334958,-0.7507525682,0.9996137023,0.4402505457,0.3700473905,-0.7514253855,0.9994063377,0.5791628957,0.4076585174,-0.4747842848,0.9995983243,0.4256590903,0.4058846235,-0.4441935122,0.9994846582,0.5248491168,0.5264461637,-0.6777396202,0.9996424913,0.4646474719,0.5238118768,-0.6594988108,0.9995607138,0.6943014264,0.791100502,-0.2789058983,0.9995429516,0.3252968788,0.7781050205,-0.2457468063,0.9993895292,0.7902675867,1.055505276,-0.1295928508,0.2813215256,0.1998998225,1.033391356,-0.08729557693,0.2665970325,0.8864363432,1.580920577,-0.1076163426,0.08271370828,0.1265868694,1.588863492,-0.212184757,0.05361568183,0.9309455752,1.682555795,-0.09637650847,0.08484177291,0.08302175254,1.726092815,-0.2670763135,0.06489980966,0.90414083,1.696188211,-0.1854519397,0.1314848661,0.120624125,1.760069489,-0.3361005783,0.09988543391,0.880987525,1.665550232,-0.1408293843,0.1390112489,,0.5184036727,0.9035001993,-0.4397346584
Straight,0.4938768744,0.4388894439,-0.8581222296,0.9998294711,0.5174694061,0.3682701886,-0.8307846189,0.9994463921,0.5363069773,0.3688977659,-0.8303710818,0.9996443391,0.551972568,0.370395273,-0.8309366107,0.999478519,0.4719921052,0.3690395653,-0.8248013258,0.9994180202,0.4579485059,0.3696434498,-0.8253577948,0.9996210933,0.441893965,0.3700068295,-0.8260498047,0.9994295239,0.5788567066,0.4076418579,-0.5372406244,0.9995977283,0.4259040356,0.4057461917,-0.5150969028,0.9994958043,0.5248923898,0.5262667537,-0.7434374094,0.9996506572,0.4651225507,0.5238198638,-0.7348278761,0.9995755553,0.6921678782,0.7892823219,-0.3253781199,0.9995386004,0.3271174729,0.7758812904,-0.3244001567,0.9994131327,0.7939453721,1.052498937,-0.1658946425,0.2982381284,0.2010625601,1.029340744,-0.1389642656,0.2896695733,0.8939992189,1.530247808,-0.1743256152,0.08813026547,0.121681951,1.553943515,-0.2420246154,0.05941332877,0.9443839192,1.651800871,-0.1757791787,0.08800882846,0.08269618452,1.71487546,-0.2974666655,0.06921194494,0.9169380069,1.659519672,-0.2645088434,0.1361851096,0.120136559,1.743210912,-0.3764185905,0.1061177328,0.8944500685,1.630364776,-0.2101257741,0.1443867087,,0.5206734216,0.8931628859,-0.5023778521
Straight,0.4943296313,0.4390580952,-0.9913595915,0.9998335242,0.5176946521,0.3687132001,-0.9582192302,0.9994652867,0.5364103913,0.3694005609,-0.9578989744,0.9996483922,0.5519919395,0.3707767427,-0.9583366513,0.9994926453,0.4722587168,0.3694605231,-0.9546269178,0.9994401932,0.4583497047,0.3700556457,-0.9552105665,0.9996296167,0.4428339899,0.3703208566,-0.9559880495,0.9994529486,0.5786585808,0.4078200161,-0.6337112188,0.9996012449,0.4259909689,0.4059262574,-0.6185862422,0.999509275,0.5250238776,0.5263437629,-0.8620551229,0.9996564984,0.4655157924,0.5244166255,-0.85668993,0.9995880127,0.6908590198,0.7888625264,-0.3902256191,0.9995155931,0.3283227086,0.7759664059,-0.4046505392,0.9994180202,0.7920254469,1.049080133,-0.2429791689,0.3089895248,0.2029015273,1.028626561,-0.2537488341,0.3060228825,0.8845108151,1.551789165,-0.2876810431,0.09052237123,0.1216725931,1.555556059,-0.414576441,0.06390140206,0.9364921451,1.675143242,-0.2972602546,0.08903926611,0.07908497751,1.697313309,-0.4799569249,0.0728777796,0.9070359468,1.683565974,-0.3891511559,0.1375648379,0.1148090735,1.719808817,-0.5588589907,0.1114956439,0.8851367235,1.65140748,-0.3259198666,0.1461718529,,0.5187231465,0.8954278163,-0.6248950606
Straight,0.4950488508,0.4400319457,-0.9652944803,0.9998399615,0.5185446739,0.3695572615,-0.934232831,0.9994855523,0.5368279815,0.3701483011,-0.9339618683,0.9996606708,0.5522648096,0.3713055551,-0.9344875216,0.9995124936,0.4725756645,0.3704920113,-0.9294310808,0.9994614124,0.4586211145,0.3709731102,-0.929960072,0.9996426702,0.4432691038,0.3710670769,-0.9306734204,0.9994727373,0.5786514878,0.4078510404,-0.6194692254,0.9996173978,0.4259905815,0.4060853422,-0.5980704427,0.9995245337,0.5256314874,0.5270726681,-0.8392952085,0.9996656179,0.4659207761,0.5259314179,-0.8323121071,0.9995977283,0.6911526918,0.7883370519,-0.3895735443,0.9995274544,0.3282999694,0.7776575089,-0.3578644693,0.9994178414,0.7920517325,1.045417428,-0.2201297283,0.32175228,0.2057878971,1.028778434,-0.1905926466,0.3080406785,0.8812907338,1.543183208,-0.2412561625,0.09595277905,0.1288574487,1.563577771,-0.3072969317,0.06396360695,0.9300293922,1.668583632,-0.2535594702,0.09272262454,0.08448643237,1.700556993,-0.3709589243,0.07270994037,0.9007288218,1.678531051,-0.3396708369,0.1429022849,0.117648825,1.723949552,-0.4330265522,0.1113691777,0.8789705038,1.64643383,-0.2790752649,0.1517117918,,0.5187568627,0.8952510086,-0.5831905813
Straight,0.4953917861,0.4400063455,-0.8656243086,0.9998454452,0.5188621283,0.3698216379,-0.8321533203,0.9995073676,0.5369467735,0.3704794943,-0.8317940831,0.9996693134,0.5522851944,0.3715904355,-0.8323033452,0.9995319247,0.4728398323,0.3708706796,-0.8254092336,0.9994847775,0.4588588178,0.3714511096,-0.8259016275,0.9996538758,0.4437887073,0.3716368079,-0.8265377283,0.9994977117,0.5785884261,0.4080408812,-0.539378047,0.9996286035,0.4261444509,0.4065888822,-0.5087832212,0.9995385408,0.5258665681,0.5270335078,-0.752078414,0.9996779561,0.4661441445,0.5259257555,-0.7423681021,0.9996137023,0.6899787188,0.7883377671,-0.3644509017,0.9995304346,0.3297253251,0.7776768804,-0.3097180128,0.9994311929,0.7917997241,1.038218737,-0.2114656419,0.3350583911,0.2057047188,1.027264118,-0.153874591,0.3201284409,0.8797860146,1.551456571,-0.2355832756,0.09685151279,0.1185668111,1.562398672,-0.2824042439,0.0646718964,0.9261525273,1.670710444,-0.2382543087,0.09221417457,0.0683169961,1.692514539,-0.3478342891,0.07263273001,0.8970855474,1.682156086,-0.3316805959,0.1423207223,0.1036177501,1.716417313,-0.4207200408,0.1114883423,0.8754025698,1.6498456,-0.2738758922,0.1512290388,,0.5164478878,0.8950201029,-0.525099692
Straight,0.4954001009,0.4406772256,-0.9030048251,0.99985075,0.5188821554,0.3702829182,-0.870923996,0.9995231628,0.5369631052,0.3708713651,-0.8706412315,0.9996785522,0.5522946119,0.3718616366,-0.8711333275,0.9995466471,0.472850889,0.3715369701,-0.8664797544,0.9995031357,0.4588744044,0.3720475137,-0.8669900894,0.9996657372,0.4438165724,0.3721877933,-0.8676918745,0.9995167255,0.5785522461,0.4080887735,-0.5675911307,0.9996401668,0.4261855483,0.4066839814,-0.5465469956,0.9995538592,0.5258476734,0.5273483396,-0.7831447721,0.9996860027,0.4661521316,0.5266467929,-0.7764627337,0.9996241927,0.689991653,0.7887080908,-0.3630117178,0.9995318055,0.3301314414,0.7779145837,-0.3290558755,0.9994429946,0.7917588949,1.037469029,-0.2058825195,0.3421016335,0.2079624236,1.027445078,-0.148775965,0.325822562,0.8813260794,1.536080956,-0.21498546,0.09888399392,0.1436646283,1.566486239,-0.264893949,0.06606907398,0.9256020784,1.657382488,-0.2145798206,0.09342514724,0.09782060981,1.695080757,-0.3189631402,0.07375830412,0.8977704048,1.666548848,-0.3056791723,0.143940255,0.131311506,1.718025327,-0.3926280141,0.1129139513,0.8764926195,1.635635376,-0.2511953413,0.1534677148,,0.5204387172,0.8929550038,-0.5363755321
